year,total_kUSD,specialty_kUSD,commercial_kUSD,roasted_kUSD,specialty_pct,roasted_pct,yoy_pct,is_forecast
2019,179373,112425,66948,111699,62.7,62.3,,0
2020,198987,133252,65735,132390,67.0,66.5,10.9,0
2021,205692,141373,64319,139245,68.7,67.7,3.4,0
2022,277899,200311,77588,198787,72.1,71.5,35.1,0
2023,275892,198078,77814,194364,71.8,70.4,-0.7,0
2024,284803,206850,77953,202165,72.6,71.0,3.2,0
2025,410683,327100,83583,322057,79.6,78.4,44.2,0
2026,474613,384911,89702,384911,81.1,81.1,15.6,1
2027,548494,453056,95438,453056,82.6,82.6,15.6,1
